"id","rating","state","elapsed_time","reviewed_at","scheduled_on","flashcardId","actorId","previousState"
dacb013d-ce32-40c5-b4d2-b30d89a7647b,2,"{""difficulty"": null}",0,2025-08-02 14:47:05.203,2025-08-02 14:47:05.203,c81f8427-fc95-4c83-9bb2-560b75ac0830,"02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0, ""difficulty"": 1, ""retrievability"": 1}"
e88bc927-92c8-4237-95d2-da4fc7e8b10f,2,"{""stability"": 0.6, ""difficulty"": 5.869999999999999}",0,2025-08-02 15:03:28.485,2025-08-02 15:03:28.485,c81f8427-fc95-4c83-9bb2-560b75ac0830,"02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0, ""difficulty"": 1, ""retrievability"": 1}"
"2afd905e-84ef-4a13-9ae2-55ee7bc9fd09",2,"{""stability"": 0.6000651488058353, ""difficulty"": 6.7299999999999995}",270,2025-08-02 15:07:58.894,2025-08-03 15:03:28.485,c81f8427-fc95-4c83-9bb2-560b75ac0830,"02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.6, ""difficulty"": 5.869999999999999, ""retrievability"": 0.9997103357403776}"
"095d65c1-da0d-4d82-abf5-7e04eaac2e13",2,"{""stability"": 0.6000652969933793, ""difficulty"": 7.59}",1,2025-08-02 15:07:59.664,2025-08-03 15:07:58.894,c81f8427-fc95-4c83-9bb2-560b75ac0830,"02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.6000651488058353, ""difficulty"": 6.7299999999999995, ""retrievability"": 0.999999174901997}"
"71b3fc87-8585-4502-892e-a05f75362680",2,"{""stability"": 0.6000653758589268, ""difficulty"": 8.45}",1,2025-08-02 15:08:00.212,2025-08-03 15:07:59.664,c81f8427-fc95-4c83-9bb2-560b75ac0830,"02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.6000652969933793, ""difficulty"": 7.59, ""retrievability"": 0.9999994127873307}"
"53a77c4c-1a18-4cc5-8bb7-12d6fe781bdd",2,"{""stability"": 0.6000654239299947, ""difficulty"": 9.309999999999999}",1,2025-08-02 15:08:00.716,2025-08-03 15:08:00.212,c81f8427-fc95-4c83-9bb2-560b75ac0830,"02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.6000653758589268, ""difficulty"": 8.45, ""retrievability"": 0.9999994599358261}"
bad59c88-f476-4390-b27e-c6b9c5a27546,2,"{""stability"": 0.600149541251887, ""difficulty"": 10}",1494,2025-08-02 15:32:54.581,2025-08-03 15:08:00.716,c81f8427-fc95-4c83-9bb2-560b75ac0830,"02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.6000654239299947, ""difficulty"": 9.309999999999999, ""retrievability"": 0.9984030724036179}"
cbcadc9f-5d5a-4d04-990b-5b731c204e8f,2,"{""stability"": 0.6, ""difficulty"": 5.869999999999999}",0,2025-08-02 15:54:22.525,2025-08-02 15:54:22.525,"74f04bb4-c729-4c8d-be81-7ecd7d8b5b37","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0, ""difficulty"": 1, ""retrievability"": 1}"
e89b8217-eb99-494a-828c-187fefd3d11e,2,"{""stability"": 0.6000040980710283, ""difficulty"": 6.7299999999999995}",17,2025-08-02 15:54:39.528,2025-08-03 15:54:22.525,"74f04bb4-c729-4c8d-be81-7ecd7d8b5b37","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.6, ""difficulty"": 5.869999999999999, ""retrievability"": 0.9999817788330765}"
ce915ea7-42c7-43a7-8c27-34b2d350db6b,2,"{""stability"": 0.6, ""difficulty"": 5.869999999999999}",0,2025-08-02 16:45:31.737,2025-08-02 16:45:31.737,"6ca1c288-9403-488f-b815-32b5d78d0a17","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0, ""difficulty"": 1, ""retrievability"": 1}"
df3a0569-a9e0-4dee-8f02-d7a75743822a,2,"{""stability"": 0.6000005382108884, ""difficulty"": 6.7299999999999995}",2,2025-08-02 16:45:33.970,2025-08-03 16:45:31.737,"6ca1c288-9403-488f-b815-32b5d78d0a17","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.6, ""difficulty"": 5.869999999999999, ""retrievability"": 0.9999976069616079}"
"64c4d2a6-fd0b-485e-abc5-460222492a23",2,"{""stability"": 0.6000006758356983, ""difficulty"": 7.59}",1,2025-08-02 16:45:34.685,2025-08-03 16:45:33.970,"6ca1c288-9403-488f-b815-32b5d78d0a17","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.6000005382108884, ""difficulty"": 6.7299999999999995, ""retrievability"": 0.9999992337549974}"
d7720f23-24e7-4b4c-a35f-203eb2a54d60,1,"{""stability"": 0.4, ""difficulty"": 6.81}",0,2025-08-02 17:01:54.837,2025-08-02 17:01:54.837,"691236bc-4df1-4cfc-9902-213cde02d665","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0, ""difficulty"": 1, ""retrievability"": 1}"
"30eb1d27-b5f1-4e48-95c5-30cd3e010c2c",1,"{""stability"": 0.008390032522781345, ""difficulty"": 8.53}",7,2025-08-02 17:02:01.911,2025-08-03 17:01:54.837,"691236bc-4df1-4cfc-9902-213cde02d665","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.4, ""difficulty"": 6.81, ""retrievability"": 0.9999886286661861}"
"9f29707b-e2e6-4aa4-9f7e-80c8cbc6393d",1,"{""stability"": 0.004890940825093769, ""difficulty"": 10}",7,2025-08-02 17:02:08.665,2025-08-03 17:02:01.911,"691236bc-4df1-4cfc-9902-213cde02d665","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.008390032522781345, ""difficulty"": 8.53, ""retrievability"": 0.9994827814112742}"
"6c329f24-c1bb-4470-9c94-cdbc1ce69d03",1,"{""stability"": 0.004763121340394295, ""difficulty"": 10}",15,2025-08-02 17:02:23.864,2025-08-03 17:02:08.665,"691236bc-4df1-4cfc-9902-213cde02d665","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.004890940825093769, ""difficulty"": 10, ""retrievability"": 0.9980077811994366}"
fb89ffff-0e62-43ea-87b9-ff04acf7655f,1,"{""stability"": 0.004753844542587163, ""difficulty"": 10}",1,2025-08-02 17:02:24.995,2025-08-03 17:02:23.864,"691236bc-4df1-4cfc-9902-213cde02d665","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.004763121340394295, ""difficulty"": 10, ""retrievability"": 0.9998473540580256}"
"58020c9e-6d5a-45f2-8893-65bccffe6634",1,"{""stability"": 0.004753180168322173, ""difficulty"": 10}",0,2025-08-02 17:02:25.204,2025-08-03 17:02:24.995,"691236bc-4df1-4cfc-9902-213cde02d665","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.004753844542587163, ""difficulty"": 10, ""retrievability"": 0.9999717318981363}"
"7a7bddad-f133-4f70-ab14-35b3a033c27f",1,"{""stability"": 0.0047531567954116226, ""difficulty"": 10}",0,2025-08-02 17:02:25.458,2025-08-03 17:02:25.204,"691236bc-4df1-4cfc-9902-213cde02d665","02c0ed35-43dc-4e2d-a551-14fa70f3b6b9","{""stability"": 0.004753180168322173, ""difficulty"": 10, ""retrievability"": 0.9999656409767562}"
